feature_name,mean_abs_shap
cat__gpu_AMD Radeon Pro 455,0.0
cat__gpu_AMD Radeon Pro 555,0.0
cat__gpu_AMD Radeon Pro 560,0.0
cat__gpu_AMD Radeon R2,0.0
cat__gpu_AMD Radeon R2 Graphics,0.0
cat__gpu_AMD Radeon R3,0.0
cat__gpu_AMD Radeon R4,0.0
cat__gpu_AMD Radeon R4 Graphics,0.0
cat__gpu_AMD Radeon R5,0.0
cat__gpu_AMD Radeon R5 430,0.0
cat__gpu_AMD Radeon R5 520,0.0
cat__gpu_AMD Radeon R5 M315,0.0
cat__gpu_AMD Radeon R5 M330,0.0
cat__gpu_AMD Radeon R5 M420,0.0
cat__gpu_AMD Radeon R5 M420X,0.0
cat__gpu_Integrated AMD Radeon Graphics,0.0
cat__gpu_Integrated Intel Iris Xe Graphics,0.0
cat__gpu_Intel Iris Xᵉ Graphics,0.0
cat__gpu_Intel Integrated Graphics,0.0
cat__gpu_Intel Integrated Integrated,0.0
cat__gpu_Intel Integrated Integrated Intel® UHD Graphics,0.0
cat__gpu_Intel Integrated Intel Iris Xe,0.0
cat__gpu_Intel Integrated Intel Iris Xe Graphics,0.0
cat__gpu_Intel Integrated Intel UHD,0.0
cat__gpu_Intel Integrated Intel UHD Graphics,0.0
cat__gpu_Intel Integrated Iris,0.0
cat__gpu_Intel Integrated Iris Xe,0.0
cat__gpu_Intel Integrated UHD,0.0
cat__gpu_Intel Integrated UHD 600,0.0
cat__gpu_Intel Integrated UHD Graphics,0.0
cat__gpu_Intel Iris Graphics 540,0.0
cat__gpu_Intel Iris Graphics 550,0.0
cat__gpu_Intel Iris Plus Graphics 640,0.0
cat__gpu_Intel Iris Plus Graphics 650,0.0
cat__gpu_Intel Iris Pro Graphics,0.0
cat__gpu_Intel Iris X Graphics,0.0
cat__gpu_Intel Iris Xe,0.0
cat__gpu_Intel Iris Xe Graphic,0.0
cat__gpu_Intel Iris Xe Graphics,0.0
cat__gpu_Intel Iris Xe Graphics ,0.0
cat__gpu_Intel Iris Xe Graphics comes,0.0
cat__gpu_Intel Iris Xe Integrated Graphics,0.0
cat__gpu_Intel Integrated Graphics ,0.0
cat__gpu_Intel Integrated Arc,0.0
cat__gpu_Integrated Intel IrisXe Graphics,0.0
cat__gpu_Intel Integrated ARC Graphics,0.0
cat__gpu_Integrated Intel UHD Graphics,0.0
cat__gpu_Integrated Intel UHD Graphics 600,0.0
cat__gpu_Intel  ARC Graphics,0.0
cat__gpu_Intel ARC Graphics,0.0
cat__gpu_Intel Arc Graphics,0.0
cat__gpu_Intel Graphics,0.0
cat__gpu_Intel Graphics 620,0.0
cat__gpu_Intel HD Graphics,0.0
cat__gpu_Intel HD Graphics 400,0.0
cat__gpu_Intel HD Graphics 405,0.0
cat__gpu_Intel HD Graphics 500,0.0
cat__gpu_Intel HD Graphics 505,0.0
cat__gpu_Intel HD Graphics 510,0.0
cat__gpu_Intel HD Graphics 515,0.0
cat__gpu_Intel HD Graphics 520,0.0
cat__gpu_Intel HD Graphics 530,0.0
cat__gpu_Intel HD Graphics 5300,0.0
cat__gpu_Intel HD Graphics 540,0.0
cat__gpu_Intel HD Graphics 6000,0.0
cat__gpu_Intel HD Graphics 615,0.0
cat__gpu_Intel HD Graphics 620,0.0
cat__gpu_Intel HD Graphics 630,0.0
cat__gpu_Intel Integrated,0.0
cat__cpu_Custom 3.82GHz,0.0
cat__cpu_Custom 3.75GHz,0.0
cat__cpu_Custom 3.80GHz,0.0
cat__cpu_5th Gen AMD Ryzen 7 5700U,0.0
cat__cpu_5th Gen AMD Ryzen 7 5800HS,0.0
cat__cpu_5th Gen AMD Ryzen 7 5800U,0.0
cat__cpu_5th Gen AMD Ryzen 7 5825U,0.0
cat__cpu_6th Gen AMD Ryzen 5 6600H,0.0
cat__cpu_6th Gen AMD Ryzen 7  6800H,0.0
cat__cpu_6th Gen AMD Ryzen 7  7735HS,0.0
cat__cpu_6th Gen AMD Ryzen 7 6800H,0.0
cat__cpu_6th Gen AMD Ryzen 7 6800H ,0.0
cat__cpu_6th Gen AMD Ryzen 7 6800HS ,0.0
cat__cpu_6th Gen AMD Ryzen 9 6900HS​,0.0
cat__cpu_7th Gen AMD Ryzen 3 7320U,0.0
cat__cpu_7th Gen AMD Ryzen 3 7330U,0.0
cat__cpu_7th Gen AMD Ryzen 5 7520U,0.0
cat__cpu_7th Gen AMD Ryzen 5 7520U ,0.0
cat__cpu_7th Gen AMD Ryzen 5 7530U,0.0
cat__cpu_7th Gen AMD Ryzen 5 7535HS,0.0
cat__cpu_7th Gen AMD Ryzen 7  7730U,0.0
cat__cpu_7th Gen AMD Ryzen 7  7735HS,0.0
cat__cpu_7th Gen AMD Ryzen 7 7730U,0.0
cat__cpu_7th Gen AMD Ryzen 7 7735HS,0.0
cat__cpu_7th Gen AMD Ryzen 7 7735U,0.0
cat__cpu_7th Gen AMD Ryzen 7 7745HX,0.0
cat__cpu_7th Gen AMD Ryzen 7 7840HS,0.0
cat__cpu_5th Gen AMD Ryzen 7 5800H,0.0
cat__cpu_5th Gen AMD Ryzen 7  5800H,0.0
cat__cpu_7th Gen AMD Ryzen 7040 Series 040,0.0
cat__cpu_5th Gen AMD Ryzen 7  5700U,0.0
cat__cpu_13th Gen Intel Core i9 13950HX,0.0
cat__cpu_13th Gen Intel Core i9 13980HX,0.0
cat__cpu_13th Gen ‎Intel Core i3 1315U,0.0
cat__cpu_13th Gen ‎Intel Core i5 1335U,0.0
cat__cpu_14th Gen Intel Core i7 14700HX,0.0
cat__cpu_14th Gen Intel Core i9 14900HX,0.0
cat__cpu_3rd Gen AMD Athlon 3050U,0.0
cat__cpu_3rd Gen AMD Ryzen 3  3250U,0.0
cat__cpu_3rd Gen AMD Ryzen 3 3250U,0.0
cat__cpu_4th Gen AMD Ryzen 7 PRO 4750U,0.0
cat__cpu_4th Gen Intel Celeron N4020,0.0
cat__cpu_5th Gen AMD Ryzen 3 5300U,0.0
cat__cpu_5th Gen AMD Ryzen 5  5500H,0.0
cat__cpu_5th Gen AMD Ryzen 5  5500U,0.0
cat__cpu_5th Gen AMD Ryzen 5  5500u,0.0
cat__cpu_5th Gen AMD Ryzen 5  5600H,0.0
